Accession	IsEnzyme	Probability
A0A0H2URU9	False	0.0005896242219023407
A0A1D5NSM8	False	0.0033278970513492823
A0A1D8PFP2	False	0.010700792074203491
A0A1D8PHA3	True	0.9652319550514221
A0A1D8PJX3	True	0.8936010003089905
A0A1D8PN96	False	0.004507487639784813
A0A1D8PNR5	False	0.0020944811403751373
A0A1D8PS71	True	0.9703909754753113
A0A1D8PTL7	False	0.0019295635866001248
A0A2H1A768	False	0.10873465240001678
A0A644F0Y1	False	0.0052945869974792
A3SI50	True	0.984815239906311
A6YQT5	False	0.2605237364768982
A8BKD1	False	0.004165661055594683
A8BPK8	True	0.9782498478889465
A8ID55	False	0.16535764932632446
A8PUY1	True	0.9806069731712341
B6T5Z6	False	0.0013942974619567394
C5I9W9	False	0.004248603247106075
D3ZID8	False	0.003994808532297611
D4A1X2	True	0.9430028200149536
E2RTQ2	False	0.0010989891598001122
E2RU10	False	0.0011335295857861638
E5D8F2	True	0.641375720500946
E7F654	True	0.7466554045677185
F0NID4	False	0.011343961581587791
F1N206	True	0.9581755995750427
F1SVH1	True	0.9232275485992432
M4QN28	True	0.9780578017234802
M5AAG8	False	0.401753693819046
N0A3C0	True	0.6424607038497925
O54581	False	0.43883830308914185
O76742	False	0.04041314870119095
P0DX82	False	0.15007972717285156
P0DX84	True	0.9930232763290405
P0DX86	True	0.9315159916877747
Q0E9H9	False	0.004973769187927246
Q3UL53	False	0.000784501142334193
Q50LE9	True	0.9929665327072144
Q50LF0	True	0.9931221604347229
Q50LF1	False	0.03120960108935833
Q50LF2	True	0.9865873456001282
Q57UP6	True	0.9886465668678284
Q57UP7	True	0.9868572354316711
Q57UP8	True	0.9885268211364746
Q57X51	True	0.9317139387130737
Q59Y37	True	0.7219502925872803
Q5ACU9	False	0.0008158085984177887
Q6DFZ1	False	0.0021472731605172157
Q6IDA6	False	0.0036649901885539293
Q6YNE9	True	0.9930793642997742
Q7S8A6	True	0.9739059209823608
Q7S9V5	True	0.9924529194831848
Q7SH52	True	0.894084632396698
Q7Y3F1	True	0.5133535861968994
Q7Y3F3	False	0.12881244719028473
Q834B6	False	0.016337402164936066
Q887C9	True	0.7255294322967529
Q8DN88	False	0.000596573285292834
Q8I0U8	False	0.10424235463142395
Q8I5I0	False	0.0009273054311051965
Q8I6U4	True	0.8967353105545044
Q8I6U5	True	0.8922498226165771
Q8IBT4	True	0.923218309879303
Q8IDQ9	True	0.8880947232246399
Q8IIL0	True	0.9049196839332581
Q8ILW0	False	0.05881642550230026
Q8IPW2	False	0.0024518929421901703
Q8RWI0	False	0.0030964307952672243
Q8RXP7	False	0.003347232472151518
Q969B0	False	0.0009341163095086813
Q9V3I2	True	0.5048482418060303
Q9V9M8	False	0.0013602866092696786
Q9V9N4	False	0.004724645521491766
Q9VDG5	False	0.025447214022278786
Q9VFF3	True	0.9409786462783813
Q9VR38	False	0.0014269277453422546
Q9VRX1	False	0.001374581246636808
Q9VWC6	False	0.06467859447002411
Q9W2R3	True	0.9867293834686279
W7FI62	False	0.0020022266544401646
W8X092	True	0.9879387617111206
W8X9R6	True	0.9194472432136536
A0A1D8PDB5	False	0.027281738817691803
A0A1D8PHA2	False	0.001190440496429801
A0A1D8PHR5	True	0.7644752860069275
A0A1D8PJ73	False	0.22113272547721863
A0A1D8PJA8	True	0.9421645998954773
A0A1D8PLP3	False	0.0018128718947991729
A0A1D8PMR6	False	0.002001507207751274
A0A1D8PP59	False	0.01255310419946909
A0A1D8PT02	True	0.8359577655792236
A0A1D8PT03	False	0.3734060823917389
A0A1D8PU51	True	0.9798303842544556
A0A2I2F2I5	True	0.9910205006599426
A0A2I2F2N6	True	0.9352656602859497
A0A2R8QP51	True	0.9559571146965027
A0A3G2S5J6	True	0.9557170867919922
A0A481NSZ4	False	0.0008071278571151197
A0A509AF62	True	0.9210786819458008
A0A509APV9	True	0.6705660223960876
A0A644F7M7	False	0.01630723476409912
A0A853PXE5	True	0.746848464012146
A0A8X6EH27	False	0.002097875578328967
A6K136	True	0.9066816568374634
A8BB91	False	0.0018725893460214138
A8BFK8	False	0.028937092050909996
A8PUY5	True	0.9590777158737183
A8QCW4	True	0.9772133827209473
B2RVI8	True	0.8798911571502686
D2SNF7	False	0.27310922741889954
F8VPJ6	False	0.014153098687529564
G0S2A3	False	0.0006463652825914323
G0SAN7	False	0.0022204513661563396
G1SPE9	True	0.9947783946990967
G3X9P6	False	0.0008715898729860783
I1RPD9	True	0.9828518629074097
O83033	False	0.2051418572664261
O96155	False	0.031207438558340073
P0DX54	True	0.9964389801025391
P0DX76	False	0.0021720807999372482
P0DX83	False	0.3264220952987671
P0DX85	True	0.9661339521408081
P0DX87	True	0.5544747710227966
P9WEM6	True	0.9644531607627869
Q2VG90	True	0.9716675281524658
Q3UT54	False	0.000778435030952096
Q47593	True	0.9765007495880127
Q4J834	True	0.8663429021835327
Q4J8L0	True	0.9548225402832031
Q4KL20	False	0.0007660905830562115
Q4WTC0	False	0.007107830140739679
Q57ZC7	True	0.981620728969574
Q5ABS1	False	0.07147351652383804
Q5XTQ4	True	0.9925909042358398
Q74M79	False	0.30550768971443176
Q74MA4	True	0.671669065952301
Q77M42	False	0.02948150411248207
Q77WP1	True	0.6676585078239441
Q79FC3	False	0.008878725580871105
Q7A2C5	False	0.018611766397953033
Q89Y83	True	0.7120882272720337
Q8IAX8	False	0.001661996589973569
Q8IBN8	True	0.9584490656852722
Q8IDN4	False	0.001653623185120523
Q8T8S1	False	0.002779299160465598
Q8TYK7	True	0.6978023052215576
Q8VHG5	False	0.0006131621194072068
Q8ZM00	False	0.0026177684776484966
Q9D350	False	0.0010528548154979944
Q9DBK7	False	0.46593979001045227
Q9FCY7	False	0.4588443636894226
Q9I6G4	False	0.0023596875835210085
Q9I6H1	False	0.0010550974402576685
Q9LIF4	True	0.837001383304596
Q9LVM3	False	0.29710128903388977
Q9P8G2	False	0.001960973720997572
Q9V3Y0	False	0.007821448147296906
Q9VDE4	False	0.019981492310762405
Q9VLK8	False	0.0024586329236626625
Q9VZL5	False	0.0015792993362993002
Q9ZIT6	True	0.65419602394104
A0A087WRU1	False	0.0009652472217567265
A0A0K0VEZ4	True	0.9656609892845154
A0A0K0VF36	True	0.7314499020576477
A0A1C8HPQ3	False	0.051377005875110626
A0A1D8PCD3	False	0.0020298082381486893
A0A1D8PDP8	False	0.0013088806299492717
A0A1D8PFP9	False	0.001570618012920022
A0A1D8PJT8	False	0.0011461632093414664
A0A1L8GWK2	False	0.0008624907350167632
A0A1L8H0H2	False	0.02174587920308113
A0A2H0ZCS5	False	0.0008212794782593846
A0A2H0ZJA8	False	0.0009756998624652624
A0A2H0ZNJ6	False	0.00073502107989043
A0A2H1A5W4	False	0.01309554185718298
A0A2I2F2J4	True	0.9755427241325378
A0A2I2F2J6	False	0.3782622814178467
A0A2I2F2J7	True	0.9792985916137695
A0A2I2F2K6	True	0.9038408994674683
A0A2I2F2K7	True	0.9812309145927429
A0A2I2F2K8	True	0.9865636825561523
A0A2I2F2L0	True	0.9865776300430298
A0A2I2F2M2	True	0.8496339321136475
A0A2I2F2Q7	True	0.992483913898468
A0A2J6RX17	False	0.10429203510284424
A0A2K8FTN3	True	0.9069201946258545
A0A3G2S8R6	True	0.9693681001663208
A0A509AER3	False	0.01240498386323452
A0A509AN56	False	0.02696230076253414
A0A509ANY8	False	0.0014515144284814596
A0A509AT60	False	0.0007405027863569558
A0A5K1K8Y8	False	0.10107504576444626
A0A644F649	False	0.009245142340660095
A0A6G9KHE4	False	0.0014438293874263763
A0A728KSL7	True	0.9508521556854248
A0A8M1N5Y4	False	0.006194839254021645
A0A8R9YVA6	True	0.9547169208526611
A0A8R9YZM7	True	0.9653571248054504
A0A8R9Z3C6	True	0.7332401275634766
A0A976SLN7	False	0.0025925717782229185
A0A976XJR9	False	0.0011371575528755784
